t,d,atr_m,rr,exit,trail_act,trail_dist,max_hold
2026.06.08 18:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.11 14:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.06.12 18:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.06.16 08:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.06.19 08:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.19 15:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.22 13:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.23 09:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.06.25 10:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.06.29 10:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.07.01 12:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.07.03 20:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.07.07 20:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.07.08 12:00,1,0.722509,2.0000,1,1.0000,0.5000,36
2026.07.09 12:00,1,0.722509,2.0000,1,1.0000,0.5000,36
2026.07.13 20:00,1,0.722509,2.0000,1,1.0000,0.5000,36
2026.07.14 09:00,1,0.722509,2.0000,1,1.0000,0.5000,36
2026.07.17 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.07.17 19:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.07.21 14:00,1,0.738479,3.0000,1,1.0000,0.5000,36
