datetime,open,high,low,close,volume
2024-06-14 04:00:00+00:00,1.07401,1.07409,1.0735,1.07362,2860.98
2024-06-14 05:00:00+00:00,1.07362,1.07372,1.07302,1.07306,4822.73
2024-06-14 06:00:00+00:00,1.07305,1.07326,1.07157,1.07249,17977.77
2024-06-14 07:00:00+00:00,1.07248,1.07271,1.0706,1.07075,22734.68
2024-06-14 08:00:00+00:00,1.07075,1.07117,1.06896,1.06917,21408.61
2024-06-14 09:00:00+00:00,1.06917,1.0692,1.06717,1.06873,21971.71
2024-06-14 10:00:00+00:00,1.06871,1.06988,1.06792,1.06978,18002.57
2024-06-14 11:00:00+00:00,1.06978,1.07058,1.06925,1.06938,13238.4
2024-06-14 12:00:00+00:00,1.06939,1.06951,1.06791,1.06892,22093.74
2024-06-14 13:00:00+00:00,1.06894,1.06923,1.06676,1.06692,19295.53
2024-06-14 14:00:00+00:00,1.0669,1.06877,1.06682,1.0687,20182.03
2024-06-14 15:00:00+00:00,1.0687,1.06998,1.06834,1.06987,12777.9
2024-06-14 16:00:00+00:00,1.06986,1.07018,1.0693,1.07004,5960.89
2024-06-14 17:00:00+00:00,1.07005,1.07045,1.06968,1.0698,5461.22
2024-06-14 18:00:00+00:00,1.06981,1.07005,1.06945,1.06995,5600.59
2024-06-14 19:00:00+00:00,1.06995,1.0706,1.06988,1.07059,2585.65
2024-06-14 20:00:00+00:00,1.0706,1.07075,1.06975,1.07025,3272.54
2024-06-16 21:00:00+00:00,1.07028,1.07084,1.06995,1.07045,446.93
2024-06-16 22:00:00+00:00,1.07044,1.07089,1.07033,1.07065,4010.7
2024-06-16 23:00:00+00:00,1.07067,1.07073,1.07017,1.07025,5252.18
2024-06-17 00:00:00+00:00,1.07026,1.07072,1.07004,1.07039,6019.61
2024-06-17 01:00:00+00:00,1.07039,1.07042,1.06992,1.07015,6162.45
2024-06-17 02:00:00+00:00,1.07014,1.07047,1.06989,1.0704,4392.97
2024-06-17 03:00:00+00:00,1.07039,1.07046,1.07017,1.07036,3734.87
2024-06-17 04:00:00+00:00,1.07037,1.07054,1.0702,1.0704,3227.57
2024-06-17 05:00:00+00:00,1.0704,1.07051,1.06991,1.06996,5064.0
2024-06-17 06:00:00+00:00,1.06996,1.07037,1.06863,1.06976,17418.25
2024-06-17 07:00:00+00:00,1.06977,1.07088,1.06921,1.07006,15091.23
2024-06-17 08:00:00+00:00,1.07005,1.07122,1.06995,1.07071,16146.26
2024-06-17 09:00:00+00:00,1.07072,1.07146,1.07069,1.0711,10413.32
2024-06-17 10:00:00+00:00,1.07111,1.07135,1.0702,1.07101,10301.1
2024-06-17 11:00:00+00:00,1.071,1.07178,1.07089,1.07094,8288.33
2024-06-17 12:00:00+00:00,1.07095,1.07152,1.0707,1.07137,10261.92
2024-06-17 13:00:00+00:00,1.07137,1.07207,1.07121,1.0716,13031.95
2024-06-17 14:00:00+00:00,1.07161,1.07183,1.07117,1.07161,12106.23
2024-06-17 15:00:00+00:00,1.07159,1.07247,1.07152,1.07222,8272.41
2024-06-17 16:00:00+00:00,1.07223,1.07277,1.07207,1.07251,7327.76
2024-06-17 17:00:00+00:00,1.0725,1.07272,1.07233,1.07259,3587.09
2024-06-17 18:00:00+00:00,1.0726,1.07378,1.07257,1.07361,7770.6
2024-06-17 19:00:00+00:00,1.07362,1.07363,1.07302,1.07321,7210.03
2024-06-17 20:00:00+00:00,1.07322,1.07359,1.07322,1.07339,1375.04
2024-06-17 21:00:00+00:00,1.07336,1.07336,1.07304,1.07314,601.98
2024-06-17 22:00:00+00:00,1.07322,1.074,1.0732,1.07376,794.96
